Name,Address,State,County,Phone,Email,Website,Category,Facility_Type,Feedstock,Latitude,Longitude,NAICS_Code
2nd Cell,"4601 Riverview Blvd, St. Louis, MO, United States",Missouri, , , ,2nd-cell.com,Electronics Recyclers,Electronics Recycler,Electronics,38.6927359824501,-90.2604690241909,562920
3C Environmental Solutions,"1400 Valwood Pkwy, Ste 120, Carrollton, TX, United States",Texas, , , , ,Electronics Recyclers,Electronics Recycler,Electronics,32.9392839842193,-96.9176299948792,562920
3R Technology,"8002 S 208th St Ste E105, Kent, WA, United States",Washington, , , ,www.3rtechnology.com,Electronics Recyclers,Electronics Recycler,Electronics,47.4165099986906,-122.23230603255,562920
4th Bin,"9-20 35th Ave, Suite 1F, New York, NY, 10016",New York, ,(855) 329-2531,ecyclenow@4thbin.com,http://www.4thbin.com/,Electronics Recyclers,Electronics Recycler,Electronics,40.7630856804378,-73.9399327495787,562920
A & S Trading,"5900 Old Branch Avenue, Temple Hills, MD, United States",Maryland, , , ,www.eagcs.org,Electronics Recyclers,Electronics Recycler,Electronics,38.8088602520567,-76.9104306199171,562920
"A Better Way Computer Recycling, LLC.","899 Airport Park Rd, Suite K, Glen Burnie, MD, United States",Maryland, , , ,http://www.abetterwayrecycling.com,Electronics Recyclers,Electronics Recycler,Electronics,39.1718019820619,-76.6446770153216,562920
A Biomedical Service,"2214 N Pleasant Ave, Fresno, CA, United States",California, , , ,www.abiomedical.com,Electronics Recyclers,Electronics Recycler,Electronics,36.7706230081482,-119.840070968419,562920
A1 Assets Inc. DBA Technology Surplus Depot,"2452 Lake Emma Rd. Suite 1010, Lake Mary, FL, United States",Florida, , , ,www.a1assets.com,Electronics Recyclers,Electronics Recycler,Electronics,28.7330640054928,-81.3612780353805,562920
Abington Reldan Metals,"550 Old Bordentown Road, Fairless Hills, PA, 19030",Pennsylvania, ,(800) 764-9222,sales@ARmetals.com,http://www.armetals.com/,Electronics Recyclers,Electronics Recycler,Electronics,40.1669190033186,-74.7564929792455,562920
ABM System,"9329 Alberene dr, Houston, TX, United States",Texas, , , ,www.recyclingsurplus.com,Electronics Recyclers,Electronics Recycler,Electronics,29.6733660202815,-95.5406930183715,562920
Adams Cable Equipment,"9700 Widmer Road, Lenexa, KS, United States",Kansas, , , ,Www.adamscableequipment.com,Electronics Recyclers,Electronics Recycler,Electronics,38.952681011964,-94.747794985188,562920
Adonis Holdings LLC dba Adonis Recycling,"620 Horine Rd  #2, Festus, MO, United States",Missouri, , , ,adonisrecycling.com,Electronics Recyclers,Electronics Recycler,Electronics,38.225943016925,-90.4039549689758,562920
Advanced Micro LLC,"7184 Maygan Dr., Olive Branch, MS, United States",Mississippi, , , ,,Electronics Recyclers,Electronics Recycler,Electronics,34.9778399919057,-89.8599139646906,562920
AER Worldwide,"19 Butterfield Trail, El Paso, TX, United States",Texas, , , ,www.aerworldwide.com,Electronics Recyclers,Electronics Recycler,Electronics,31.8140079927697,-106.396384996547,562920
AER Worldwide,"790 Berry Shoals Rd, Duncan, SC, United States",South Carolina, , , ,www.aerworldwide.com,Electronics Recyclers,Electronics Recycler,Electronics,34.8791281486806,-82.1303295327672,562920
"AERC Recycling Solutions, A Clean Earth Company","1733 Morgan Road, Modesto, CA, United States",California, , , ,cleanearthinc.com,Electronics Recyclers,Electronics Recycler,Electronics,37.6043740183136,-120.976702971839,562920
"AERC Recycling Solutions, A Clean Earth Company","2330 Southwest 26th Street, Allentown, PA, United States",Pennsylvania, , , ,cleanearthinc.com,Electronics Recyclers,Electronics Recycler,Electronics,40.5651910000318,-75.4761750043725,562920
"AERC Recycling Solutions, A Clean Earth Company","3301 Rosedale Ave. Suite D, Richmond, VA, United States",Virginia, , , ,cleanearthinc.com,Electronics Recyclers,Electronics Recycler,Electronics,37.576827019256,-77.4688159942016,562920
"AERC Recycling Solutions, A Clean Earth Company","4317 Fortune Drive, Suite J, West Melbourne, FL, United States",Florida, , , ,cleanearthinc.com,Electronics Recyclers,Electronics Recycler,Electronics,28.0943380054526,-80.6980760398778,562920
AIM Ecycling,"5656 Opportunity Drive, #11, Toledo, OH, United States",Ohio, , , , ,Electronics Recyclers,Electronics Recycler,Electronics,41.7186899910303,-83.5694679634502,562920
Aircell Enterprise Inc. dba Aircell Wireless,"3905 Braxton Dr., Houston, TX, United States",Texas, , , , ,Electronics Recyclers,Electronics Recycler,Electronics,29.7241479902175,-95.5089990308084,562920
"Airlink Distribution, Inc.","3031 S. Orange Ave, Unit B, Santa Ana, CA, United States",California, , , , ,Electronics Recyclers,Electronics Recycler,Electronics,33.706225987387,-117.864249021683,562920
"AirWay Technologies, Inc.","2350 Litton Lane Suite 200, Hebron, KY, United States",Kentucky, , , ,www.airway.com,Electronics Recyclers,Electronics Recycler,Electronics,39.0790540022213,-84.7223989966894,562920
"All Green Electronics Recycling, LLC","7397 Doig Drive, Garden Grove, CA, United States",California, , , ,https://allgreenrecycling.com/,Electronics Recyclers,Electronics Recycler,Electronics,33.7940410076613,-118.003425997684,562920
All In Metals,"1275 W. State St, Ontario, CA, United States",California, , , , ,Electronics Recyclers,Electronics Recycler,Electronics,34.0590269975639,-117.674957987701,562920
"Allied Ecovery, Inc.","465 Clary Connector, Toccoa, GA, United States",Georgia, , , , ,Electronics Recyclers,Electronics Recycler,Electronics,34.5333299806962,-83.2888840061095,562920
Alpha Surplus,"1980 Elm Court, Ontario, CA, United States",California, , , ,www.alphasurplus.com,Electronics Recyclers,Electronics Recycler,Electronics,34.0468127571378,-117.606470799382,562920
Altech - DBA Altech Metals Inc. and Altechco,"4650 S. Pinemont Ste. 100, Houston, TX, United States",Texas, , , ,www.altechco.com,Electronics Recyclers,Electronics Recycler,Electronics,29.8391090193015,-95.5154850313046,562920
"Altr-B Recycling, Inc.","2810 Mowery Rd., Houston, TX, United States",Texas, , , ,www.altr-binc.com,Electronics Recyclers,Electronics Recycler,Electronics,29.6353429833591,-95.405303992054,562920
Alzubairielectric LLC,"5605 NW 74th Avenue, Doral, FL, United States",Florida, , , ,www.zubairielectric.com,Electronics Recyclers,Electronics Recycler,Electronics,25.8249469827047,-80.3165570368602,562920
American Cellular Solutions,"29313 Clemens Rd., Suite 2L, Westlake, OH, United States",Ohio, , , ,www.americancellularsolutions.com,Electronics Recyclers,Electronics Recycler,Electronics,41.4696789865707,-81.9466330213224,562920
American Cellular Technology,"2875 N Berkeley Lake Rd Unit 18, Duluth, GA, United States",Georgia, , , , ,Electronics Recyclers,Electronics Recycler,Electronics,33.9730109851682,-84.1633910146371,562920
"American Ecycle, Inc.","1150 Turner Rd, Eastanollee, GA, United States",Georgia, , , , ,Electronics Recyclers,Electronics Recycler,Electronics,34.5186010070697,-83.2689820152097,562920
